,image_id,label
0,762338204.jpg,3
1,1899678596.jpg,1
2,457405364.jpg,1
3,263555340.jpg,3
4,1288497419.jpg,3
5,1794775847.jpg,3
6,1977466275.jpg,4
7,1379079003.jpg,2
8,1397843043.jpg,4
9,3247553763.jpg,4
10,362737838.jpg,3
11,2403996210.jpg,3
12,738403041.jpg,3
13,3342658520.jpg,2
14,3268898958.jpg,2
15,2570954443.jpg,3
16,train-cbb-427.jpg,0
17,2438476273.jpg,3
18,train-cmd-2120.jpg,3
19,4213411330.jpg,0
20,1721889897.jpg,4
21,102485576.jpg,0
22,481101110.jpg,2
23,497021480.jpg,3
24,2650131569.jpg,1
25,2530669679.jpg,3
26,3415036819.jpg,3
27,3903787097.jpg,0
28,train-cbb-165.jpg,0
29,4213312070.jpg,3
30,train-cmd-454.jpg,3
31,3223959207.jpg,3
32,4169866451.jpg,2
33,2202374658.jpg,3
34,2678713087.jpg,3
35,2152949074.jpg,3
36,train-cmd-605.jpg,3
37,831001239.jpg,3
38,1284979146.jpg,3
39,1991499103.jpg,3
40,2136732511.jpg,3
41,1544883510.jpg,4
42,2616771269.jpg,4
43,4057315544.jpg,3
44,2188547728.jpg,3
45,2651771212.jpg,3
46,train-cbsd-322.jpg,1
47,1276952217.jpg,3
48,1456881000.jpg,2
49,train-cmd-365.jpg,3
50,2688880174.jpg,3
51,1987807979.jpg,1
52,334288239.jpg,1
53,train-healthy-159.jpg,4
54,772210592.jpg,3
55,3287098987.jpg,3
56,train-cbsd-319.jpg,1
57,2242706727.jpg,4
58,2834029646.jpg,3
59,3960301906.jpg,3
60,train-healthy-176.jpg,4
61,641309732.jpg,1
62,1132695066.jpg,3
63,train-cmd-1457.jpg,3
64,train-cmd-1769.jpg,3
65,2612403122.jpg,3
66,train-cmd-499.jpg,3
67,3591683248.jpg,0
68,train-cmd-588.jpg,3
69,857910285.jpg,1
70,2966301769.jpg,3
71,1527543891.jpg,3
72,1262742218.jpg,3
73,train-cmd-58.jpg,3
74,3410174460.jpg,1
75,train-cmd-314.jpg,3
76,268370627.jpg,3
77,train-cmd-803.jpg,3
78,2703114057.jpg,3
79,333668754.jpg,3
80,972622677.jpg,1
81,4102169055.jpg,3
82,2551641854.jpg,3
83,3943832883.jpg,3
84,1034219276.jpg,4
85,1302328544.jpg,4
86,3151004531.jpg,3
87,3822961101.jpg,3
88,197701687.jpg,3
89,2349014698.jpg,3
90,3528796531.jpg,2
91,4272684860.jpg,2
92,2130686560.jpg,3
93,train-cbsd-1214.jpg,1
94,1556143749.jpg,3
95,2098616985.jpg,3
96,3580225233.jpg,1
97,3386628365.jpg,3
98,1887844954.jpg,1
99,2593895227.jpg,3
100,1900666535.jpg,3
101,2593681769.jpg,3
102,1539509654.jpg,3
103,3646738568.jpg,4
104,2440390856.jpg,3
105,31351569.jpg,3
106,2580526345.jpg,3
107,2718502523.jpg,3
108,2111990467.jpg,1
109,2462086186.jpg,3
110,2740240477.jpg,4
111,3449080403.jpg,3
112,2208592852.jpg,3
113,1276467932.jpg,3
114,train-cmd-1734.jpg,3
115,986965803.jpg,0
116,train-cmd-1706.jpg,3
117,train-cmd-1415.jpg,3
118,2817027058.jpg,3
119,3550082135.jpg,3
120,4104305706.jpg,3
121,2322664603.jpg,3
122,624542244.jpg,2
123,1902356737.jpg,2
124,2828802203.jpg,1
125,2934115703.jpg,4
126,179539065.jpg,3
127,2470178164.jpg,1
128,train-cbsd-351.jpg,1
129,3337923677.jpg,3
130,4077138673.jpg,3
131,3405477653.jpg,3
132,2037654079.jpg,3
133,2395724098.jpg,3
134,27094452.jpg,0
135,361834940.jpg,4
136,923880010.jpg,3
137,1572165439.jpg,3
138,train-cgm-62.jpg,2
139,train-cmd-1621.jpg,3
140,534969562.jpg,1
141,2198789414.jpg,3
142,2757539730.jpg,3
143,4096337072.jpg,0
144,train-cgm-551.jpg,2
145,2962837486.jpg,3
146,504689064.jpg,2
147,train-cmd-901.jpg,3
148,2003778001.jpg,2
149,1416108002.jpg,3
150,train-cgm-350.jpg,2
151,2282747032.jpg,1
152,4025854027.jpg,1
153,2570433582.jpg,3
154,train-cbb-175.jpg,0
155,3640776569.jpg,1
156,3852314693.jpg,3
157,train-cmd-2444.jpg,3
158,2959379698.jpg,2
159,1959856523.jpg,3
160,3439535328.jpg,3
161,3656581158.jpg,3
162,2496761158.jpg,2
163,2787491273.jpg,1
164,3476129770.jpg,3
165,804353681.jpg,2
166,3261438787.jpg,2
167,1304731693.jpg,3
168,619095657.jpg,3
169,138459723.jpg,3
170,3770308231.jpg,2
171,train-cgm-613.jpg,2
172,931943521.jpg,3
173,2034119806.jpg,3
174,587692768.jpg,1
175,229671896.jpg,3
176,2856660154.jpg,1
177,1553995001.jpg,2
178,1776479289.jpg,4
179,1995608609.jpg,2
180,815758241.jpg,0
181,1284779898.jpg,4
182,train-cmd-910.jpg,3
183,train-cmd-720.jpg,3
184,706808191.jpg,4
185,train-cbb-435.jpg,0
186,train-cmd-2633.jpg,3
187,train-cbsd-1269.jpg,1
188,3467403043.jpg,2
189,1510309183.jpg,3
190,2776053424.jpg,3
191,train-cmd-2635.jpg,3
192,train-cmd-1522.jpg,3
193,2467650038.jpg,0
194,780812090.jpg,3
195,train-cmd-2381.jpg,3
196,2302182518.jpg,3
197,3229042253.jpg,3
198,206432986.jpg,4
199,2150118983.jpg,4
200,212825302.jpg,4
201,3272750945.jpg,3
202,1146890765.jpg,3
203,train-cbb-97.jpg,0
204,729514787.jpg,3
205,3937975751.jpg,3
206,1426159636.jpg,3
207,808180923.jpg,3
208,train-cmd-172.jpg,3
209,train-healthy-26.jpg,4
210,618285041.jpg,4
211,367042340.jpg,4
212,train-cmd-1322.jpg,3
213,2217091217.jpg,4
214,1403617478.jpg,3
215,train-healthy-5.jpg,4
216,474493920.jpg,0
217,1847948154.jpg,3
218,train-cgm-665.jpg,2
219,1760340561.jpg,3
220,4287071486.jpg,3
221,train-cgm-438.jpg,2
222,344288315.jpg,0
223,train-cmd-134.jpg,3
224,864600398.jpg,4
225,3329131799.jpg,4
226,1128747807.jpg,3
227,3975873583.jpg,2
228,811696349.jpg,3
229,1300823152.jpg,4
230,2510221236.jpg,1
231,1725548375.jpg,1
232,3092766457.jpg,3
233,train-cmd-1304.jpg,3
234,3508836759.jpg,1
235,1316173298.jpg,2
236,3856238751.jpg,3
237,511494516.jpg,3
238,2927616574.jpg,3
239,3300523135.jpg,3
240,2423261447.jpg,3
241,2320602332.jpg,3
242,2964894832.jpg,3
243,4052938438.jpg,3
244,483070348.jpg,2
245,train-cmd-1686.jpg,3
246,207761661.jpg,3
247,3862884454.jpg,2
248,train-cmd-785.jpg,3
249,780810143.jpg,3
250,3497832029.jpg,3
251,train-cmd-791.jpg,3
252,train-cmd-894.jpg,3
253,2797474024.jpg,2
254,2734599898.jpg,1
255,4180586995.jpg,1
256,414171398.jpg,4
257,2542629579.jpg,1
258,664583876.jpg,1
259,4210616939.jpg,3
260,1957897144.jpg,4
261,3638122648.jpg,3
262,4156754691.jpg,3
263,1847901285.jpg,4
264,train-cbsd-824.jpg,1
265,train-cgm-26.jpg,2
266,train-cmd-868.jpg,3
267,train-cbsd-371.jpg,1
268,3713675255.jpg,4
269,1907138537.jpg,3
270,3464231569.jpg,2
271,train-cmd-1803.jpg,3
272,1281527517.jpg,1
273,1996031857.jpg,4
274,train-cmd-2399.jpg,3
275,train-cmd-1092.jpg,3
276,886468951.jpg,3
277,630798966.jpg,3
278,train-cbb-410.jpg,0
279,2560941741.jpg,3
280,2448133636.jpg,1
281,2967030825.jpg,0
282,train-cgm-292.jpg,2
283,train-cbsd-356.jpg,1
284,2646451765.jpg,3
285,2924890982.jpg,1
286,514840131.jpg,3
287,4156956690.jpg,3
288,train-cbsd-1395.jpg,1
289,2567910282.jpg,1
290,3555144754.jpg,3
291,1710187645.jpg,2
292,181228632.jpg,3
293,2761497059.jpg,3
294,292767408.jpg,3
295,1168027605.jpg,3
296,1233530597.jpg,3
297,train-cgm-144.jpg,2
298,281473459.jpg,1
299,491901266.jpg,3
300,1579937444.jpg,1
301,3403536238.jpg,2
302,137474940.jpg,3
303,2165624122.jpg,3
304,195590994.jpg,3
305,2330493455.jpg,3
306,train-cmd-733.jpg,3
307,3809986981.jpg,3
308,4184062100.jpg,2
309,1039658655.jpg,3
310,921779789.jpg,3
311,4019060671.jpg,2
312,571189248.jpg,3
313,1937179259.jpg,2
314,1514588016.jpg,1
315,4250623520.jpg,3
316,train-cbb-76.jpg,0
317,train-cmd-135.jpg,3
318,2935901261.jpg,3
319,118428727.jpg,3
320,1061187521.jpg,3
321,train-cbsd-942.jpg,1
322,1926938373.jpg,3
323,3289986496.jpg,2
324,3966169079.jpg,3
325,1505418979.jpg,3
326,1540668864.jpg,0
327,717043764.jpg,1
328,1805580430.jpg,3
329,1946928458.jpg,2
330,1126766682.jpg,3
331,124956903.jpg,3
332,1611948994.jpg,2
333,3575454686.jpg,4
334,725248159.jpg,3
335,197416826.jpg,4
336,1707981627.jpg,3
337,2684430050.jpg,2
338,825527127.jpg,3
339,1420352773.jpg,3
340,903252353.jpg,4
341,2215986164.jpg,3
342,2871575859.jpg,1
343,3027251380.jpg,3
344,2211589437.jpg,3
345,895910836.jpg,2
346,2926838073.jpg,3
347,4250668297.jpg,3
348,train-healthy-124.jpg,4
349,2596954655.jpg,3
350,3703473258.jpg,3
351,145911417.jpg,3
352,3743787715.jpg,3
353,2490112634.jpg,0
354,train-cbsd-129.jpg,1
355,4133641764.jpg,3
356,2702330830.jpg,3
357,3713964400.jpg,3
358,2339596137.jpg,3
359,365712595.jpg,1
360,2888561095.jpg,3
361,3584687840.jpg,3
362,498928968.jpg,3
363,410556634.jpg,0
364,2399566100.jpg,3
365,4073688156.jpg,2
366,3986617581.jpg,3
367,1654334807.jpg,3
368,718245684.jpg,3
369,train-cbsd-422.jpg,1
370,train-cmd-1001.jpg,3
371,train-cbsd-207.jpg,1
372,1849963658.jpg,3
373,2520567878.jpg,3
374,train-cmd-522.jpg,3
375,13399494.jpg,3
376,1252338072.jpg,1
377,1369924842.jpg,1
378,3196317040.jpg,3
379,2745537862.jpg,1
380,4016407107.jpg,3
381,2478368838.jpg,1
382,2591720324.jpg,3
383,739227863.jpg,2
384,3980236832.jpg,3
385,136922431.jpg,2
386,661795879.jpg,1
387,425020385.jpg,3
388,2963193428.jpg,2
389,2847670157.jpg,3
390,1376107939.jpg,4
391,train-cbb-397.jpg,0
392,2713091649.jpg,1
393,3882757126.jpg,0
394,4056735912.jpg,4
395,618654809.jpg,3
396,2444482015.jpg,4
397,948363257.jpg,0
398,train-cmd-611.jpg,3
399,train-cmd-2197.jpg,3
400,train-cmd-2461.jpg,3
401,train-cgm-4.jpg,2
402,1666313319.jpg,3
403,830812751.jpg,0
404,270273705.jpg,3
405,753470251.jpg,2
406,train-cmd-2366.jpg,3
407,train-cmd-43.jpg,3
408,3903622847.jpg,4
409,1116356197.jpg,2
410,2309908274.jpg,3
411,898386629.jpg,3
412,182701414.jpg,3
413,4156520758.jpg,3
